Code1|Code2|Code3|County Name/State Abbreviation|Year|Labor Force|Employed|Unemployed|Unemployment (%)
CN1205700000000|12|057|Hillsborough County, FL|2008|599,256     |560,054     |39,202     |6.5     
CN1205900000000|12|059|Holmes County, FL|2008|8,999     |8,531     |468     |5.2     
CN1206100000000|12|061|Indian River County, FL|2008|62,940     |57,748     |5,192     |8.2     
CN1206300000000|12|063|Jackson County, FL|2008|22,155     |20,973     |1,182     |5.3     
CN1206500000000|12|065|Jefferson County, FL|2008|6,844     |6,491     |353     |5.2     
CN1206700000000|12|067|Lafayette County, FL|2008|2,978     |2,839     |139     |4.7     
CN1206900000000|12|069|Lake County, FL|2008|136,844     |127,816     |9,028     |6.6     
CN1207100000000|12|071|Lee County, FL|2008|286,092     |262,214     |23,878     |8.3     
CN1207300000000|12|073|Leon County, FL|2008|147,218     |140,372     |6,846     |4.7     
CN1207500000000|12|075|Levy County, FL|2008|16,891     |15,666     |1,225     |7.3     
CN1207700000000|12|077|Liberty County, FL|2008|3,851     |3,683     |168     |4.4     
CN1207900000000|12|079|Madison County, FL|2008|7,034     |6,530     |504     |7.2     
CN1208100000000|12|081|Manatee County, FL|2008|144,269     |133,932     |10,337     |7.2     
CN1208300000000|12|083|Marion County, FL|2008|138,375     |127,220     |11,155     |8.1     
CN1208500000000|12|085|Martin County, FL|2008|63,675     |59,125     |4,550     |7.1     
CN1208600000000|12|086|Miami-Dade County, FL|2008|1,228,554     |1,169,367     |59,187     |4.8     
CN1208700000000|12|087|Monroe County, FL|2008|46,650     |44,710     |1,940     |4.2     
CN1208900000000|12|089|Nassau County, FL|2008|36,276     |34,261     |2,015     |5.6     
CN1209100000000|12|091|Okaloosa County, FL|2008|96,861     |92,269     |4,592     |4.7     
CN1209300000000|12|093|Okeechobee County, FL|2008|17,662     |16,183     |1,479     |8.4     
CN1209500000000|12|095|Orange County, FL|2008|603,287     |566,854     |36,433     |6.0     
CN1209700000000|12|097|Osceola County, FL|2008|138,080     |129,094     |8,986     |6.5     
CN1209900000000|12|099|Palm Beach County, FL|2008|628,411     |585,947     |42,464     |6.8     
CN1210100000000|12|101|Pasco County, FL|2008|197,619     |182,473     |15,146     |7.7     
CN1210300000000|12|103|Pinellas County, FL|2008|447,744     |418,214     |29,530     |6.6     
CN1210500000000|12|105|Polk County, FL|2008|273,427     |254,490     |18,937     |6.9     
CN1210700000000|12|107|Putnam County, FL|2008|32,057     |29,618     |2,439     |7.6     
CN1210900000000|12|109|St. Johns County, FL|2008|96,362     |91,366     |4,996     |5.2     
CN1211100000000|12|111|St. Lucie County, FL|2008|124,487     |113,354     |11,133     |8.9     
CN1211300000000|12|113|Santa Rosa County, FL|2008|70,359     |66,289     |4,070     |5.8     
CN1211500000000|12|115|Sarasota County, FL|2008|167,160     |154,823     |12,337     |7.4     
CN1211700000000|12|117|Seminole County, FL|2008|241,178     |227,205     |13,973     |5.8     
CN1211900000000|12|119|Sumter County, FL|2008|30,934     |29,145     |1,789     |5.8     
CN1212100000000|12|121|Suwannee County, FL|2008|17,008     |15,979     |1,029     |6.1     
CN1212300000000|12|123|Taylor County, FL|2008|9,139     |8,525     |614     |6.7     
CN1212500000000|12|125|Union County, FL|2008|5,309     |5,045     |264     |5.0     
CN1212700000000|12|127|Volusia County, FL|2008|254,567     |237,301     |17,266     |6.8     
CN1212900000000|12|129|Wakulla County, FL|2008|15,916     |15,178     |738     |4.6     
CN1213100000000|12|131|Walton County, FL|2008|31,129     |29,684     |1,445     |4.6     
CN1213300000000|12|133|Washington County, FL|2008|9,881     |9,234     |647     |6.5     
CN1300100000000|13|001|Appling County, GA|2008|9,354     |8,701     |653     |7.0     
CN1300300000000|13|003|Atkinson County, GA|2008|3,388     |3,106     |282     |8.3     
CN1300500000000|13|005|Bacon County, GA|2008|4,794     |4,495     |299     |6.2     
CN1300700000000|13|007|Baker County, GA|2008|1,677     |1,570     |107     |6.4     
CN1300900000000|13|009|Baldwin County, GA|2008|21,101     |19,445     |1,656     |7.8     
CN1301100000000|13|011|Banks County, GA|2008|11,055     |10,556     |499     |4.5     
CN1301300000000|13|013|Barrow County, GA|2008|35,332     |33,103     |2,229     |6.3     
CN1301500000000|13|015|Bartow County, GA|2008|46,936     |43,592     |3,344     |7.1     
CN1301700000000|13|017|Ben Hill County, GA|2008|7,536     |6,719     |817     |10.8     
CN1301900000000|13|019|Berrien County, GA|2008|8,665     |8,061     |604     |7.0     
CN1302100000000|13|021|Bibb County, GA|2008|75,685     |70,795     |4,890     |6.5     
CN1302300000000|13|023|Bleckley County, GA|2008|5,406     |5,013     |393     |7.3     
CN1302500000000|13|025|Brantley County, GA|2008|7,677     |7,186     |491     |6.4     
CN1302700000000|13|027|Brooks County, GA|2008|8,406     |7,927     |479     |5.7     
CN1302900000000|13|029|Bryan County, GA|2008|17,096     |16,255     |841     |4.9     
CN1303100000000|13|031|Bulloch County, GA|2008|33,157     |31,140     |2,017     |6.1     
CN1303300000000|13|033|Burke County, GA|2008|10,002     |9,133     |869     |8.7     
CN1303500000000|13|035|Butts County, GA|2008|10,456     |9,674     |782     |7.5     
CN1303700000000|13|037|Calhoun County, GA|2008|2,407     |2,214     |193     |8.0     
CN1303900000000|13|039|Camden County, GA|2008|21,373     |20,178     |1,195     |5.6     
CN1304300000000|13|043|Candler County, GA|2008|4,348     |4,075     |273     |6.3     
CN1304500000000|13|045|Carroll County, GA|2008|53,935     |50,314     |3,621     |6.7     
CN1304700000000|13|047|Catoosa County, GA|2008|35,778     |33,948     |1,830     |5.1     
CN1304900000000|13|049|Charlton County, GA|2008|4,587     |4,278     |309     |6.7     
CN1305100000000|13|051|Chatham County, GA|2008|134,606     |127,004     |7,602     |5.6     
CN1305300000000|13|053|Chattahoochee County, GA|2008|2,558     |2,246     |312     |12.2     
CN1305500000000|13|055|Chattooga County, GA|2008|11,279     |10,172     |1,107     |9.8     
CN1305700000000|13|057|Cherokee County, GA|2008|112,409     |106,486     |5,923     |5.3     
CN1305900000000|13|059|Clarke County, GA|2008|66,162     |62,795     |3,367     |5.1     
CN1306100000000|13|061|Clay County, GA|2008|1,477     |1,370     |107     |7.2     
CN1306300000000|13|063|Clayton County, GA|2008|136,611     |126,243     |10,368     |7.6     
CN1306500000000|13|065|Clinch County, GA|2008|2,798     |2,597     |201     |7.2     
CN1306700000000|13|067|Cobb County, GA|2008|381,680     |360,319     |21,361     |5.6     
CN1306900000000|13|069|Coffee County, GA|2008|16,729     |15,348     |1,381     |8.3     
CN1307100000000|13|071|Colquitt County, GA|2008|20,769     |19,522     |1,247     |6.0     
CN1307300000000|13|073|Columbia County, GA|2008|60,937     |58,040     |2,897     |4.8     
CN1307500000000|13|075|Cook County, GA|2008|7,252     |6,691     |561     |7.7     
CN1307700000000|13|077|Coweta County, GA|2008|61,411     |57,904     |3,507     |5.7     
CN1307900000000|13|079|Crawford County, GA|2008|6,278     |5,900     |378     |6.0     
CN1308100000000|13|081|Crisp County, GA|2008|10,223     |9,437     |786     |7.7     
CN1308300000000|13|083|Dade County, GA|2008|8,451     |7,972     |479     |5.7     
CN1308500000000|13|085|Dawson County, GA|2008|11,376     |10,707     |669     |5.9     
CN1308700000000|13|087|Decatur County, GA|2008|12,114     |11,190     |924     |7.6     
CN1308900000000|13|089|DeKalb County, GA|2008|392,969     |367,914     |25,055     |6.4     
CN1309100000000|13|091|Dodge County, GA|2008|9,419     |8,788     |631     |6.7     
CN1309300000000|13|093|Dooly County, GA|2008|4,805     |4,482     |323     |6.7     
CN1309500000000|13|095|Dougherty County, GA|2008|42,288     |39,348     |2,940     |7.0     
CN1309700000000|13|097|Douglas County, GA|2008|66,368     |62,091     |4,277     |6.4     
CN1309900000000|13|099|Early County, GA|2008|5,524     |5,157     |367     |6.6     
CN1310100000000|13|101|Echols County, GA|2008|2,217     |2,122     |95     |4.3     
CN1310300000000|13|103|Effingham County, GA|2008|29,084     |27,683     |1,401     |4.8     
CN1310500000000|13|105|Elbert County, GA|2008|10,087     |9,246     |841     |8.3     
CN1310700000000|13|107|Emanuel County, GA|2008|10,803     |10,007     |796     |7.4     
CN1310900000000|13|109|Evans County, GA|2008|5,023     |4,707     |316     |6.3     
CN1311100000000|13|111|Fannin County, GA|2008|10,959     |10,275     |684     |6.2     
CN1311300000000|13|113|Fayette County, GA|2008|53,285     |50,498     |2,787     |5.2     
CN1311500000000|13|115|Floyd County, GA|2008|50,328     |47,077     |3,251     |6.5     
CN1311700000000|13|117|Forsyth County, GA|2008|88,509     |84,270     |4,239     |4.8     
CN1311900000000|13|119|Franklin County, GA|2008|10,465     |9,734     |731     |7.0     
CN1312100000000|13|121|Fulton County, GA|2008|497,388     |465,380     |32,008     |6.4     
CN1312300000000|13|123|Gilmer County, GA|2008|14,116     |13,289     |827     |5.9     
CN1312500000000|13|125|Glascock County, GA|2008|1,130     |1,053     |77     |6.8     
CN1312700000000|13|127|Glynn County, GA|2008|41,495     |39,401     |2,094     |5.0     
CN1312900000000|13|129|Gordon County, GA|2008|26,642     |24,669     |1,973     |7.4     
CN1313100000000|13|131|Grady County, GA|2008|11,997     |11,278     |719     |6.0     
CN1313300000000|13|133|Greene County, GA|2008|7,624     |7,107     |517     |6.8     
CN1313500000000|13|135|Gwinnett County, GA|2008|425,860     |402,076     |23,784     |5.6     
CN1313700000000|13|137|Habersham County, GA|2008|20,854     |19,664     |1,190     |5.7     
CN1313900000000|13|139|Hall County, GA|2008|93,111     |88,082     |5,029     |5.4     
CN1314100000000|13|141|Hancock County, GA|2008|3,361     |2,924     |437     |13.0     
CN1314300000000|13|143|Haralson County, GA|2008|12,951     |12,102     |849     |6.6     
CN1314500000000|13|145|Harris County, GA|2008|16,428     |15,658     |770     |4.7     
CN1314700000000|13|147|Hart County, GA|2008|10,704     |9,764     |940     |8.8     
CN1314900000000|13|149|Heard County, GA|2008|4,962     |4,587     |375     |7.6     
CN1315100000000|13|151|Henry County, GA|2008|99,348     |93,281     |6,067     |6.1     
CN1315300000000|13|153|Houston County, GA|2008|69,986     |66,343     |3,643     |5.2     
CN1315500000000|13|155|Irwin County, GA|2008|4,236     |3,816     |420     |9.9     
CN1315700000000|13|157|Jackson County, GA|2008|27,695     |25,975     |1,720     |6.2     
CN1315900000000|13|159|Jasper County, GA|2008|6,617     |6,070     |547     |8.3     
CN1316100000000|13|161|Jeff Davis County, GA|2008|5,313     |4,794     |519     |9.8     
CN1316300000000|13|163|Jefferson County, GA|2008|7,180     |6,476     |704     |9.8     
CN1316500000000|13|165|Jenkins County, GA|2008|2,864     |2,415     |449     |15.7     
CN1316700000000|13|167|Johnson County, GA|2008|3,715     |3,419     |296     |8.0     
CN1316900000000|13|169|Jones County, GA|2008|14,571     |13,733     |838     |5.8     
CN1317100000000|13|171|Lamar County, GA|2008|7,962     |7,374     |588     |7.4     
CN1317300000000|13|173|Lanier County, GA|2008|4,227     |3,982     |245     |5.8     
CN1317500000000|13|175|Laurens County, GA|2008|22,440     |20,848     |1,592     |7.1     
CN1317700000000|13|177|Lee County, GA|2008|18,073     |17,260     |813     |4.5     
CN1317900000000|13|179|Liberty County, GA|2008|25,479     |23,961     |1,518     |6.0     
CN1318100000000|13|181|Lincoln County, GA|2008|3,910     |3,633     |277     |7.1     
CN1318300000000|13|183|Long County, GA|2008|6,521     |6,233     |288     |4.4     
CN1318500000000|13|185|Lowndes County, GA|2008|54,974     |51,985     |2,989     |5.4     
CN1318700000000|13|187|Lumpkin County, GA|2008|13,460     |12,520     |940     |7.0     
CN1318900000000|13|189|McDuffie County, GA|2008|10,794     |9,949     |845     |7.8     
CN1319100000000|13|191|McIntosh County, GA|2008|5,469     |5,145     |324     |5.9     
CN1319300000000|13|193|Macon County, GA|2008|5,154     |4,720     |434     |8.4     
CN1319500000000|13|195|Madison County, GA|2008|16,325     |15,477     |848     |5.2     
CN1319700000000|13|197|Marion County, GA|2008|3,338     |3,132     |206     |6.2     
CN1319900000000|13|199|Meriwether County, GA|2008|9,662     |8,845     |817     |8.5     
CN1320100000000|13|201|Miller County, GA|2008|3,600     |3,422     |178     |4.9     
CN1320500000000|13|205|Mitchell County, GA|2008|10,571     |9,851     |720     |6.8     
CN1320700000000|13|207|Monroe County, GA|2008|13,952     |13,164     |788     |5.6     
CN1320900000000|13|209|Montgomery County, GA|2008|4,559     |4,226     |333     |7.3     
CN1321100000000|13|211|Morgan County, GA|2008|9,626     |9,051     |575     |6.0     
CN1321300000000|13|213|Murray County, GA|2008|20,422     |18,915     |1,507     |7.4     
CN1321500000000|13|215|Muscogee County, GA|2008|86,288     |80,960     |5,328     |6.2     
CN1321700000000|13|217|Newton County, GA|2008|47,716     |44,131     |3,585     |7.5     
CN1321900000000|13|219|Oconee County, GA|2008|18,886     |18,122     |764     |4.0     
